Model,Dependent,Term,Coef,Robust_SE_HC3,t,p_value,N,R2,Adj_R2
10B_BDTI_CCI,FX volatility,CGRI_Equal_Weighted,-0.1478750912260793,0.03859783821188877,-3.831175477090095,0.0001275325058199422,4620,0.2028984428906194,0.2003014569313143
10B_BDTI_CCI,FX volatility,CCI_Baseline_Recomputed,-82.19316290808383,3.439985678638484,-23.89346078342255,3.581735369458549e-126,4620,0.2028984428906194,0.2003014569313143
10C_CGRI_Max_CCI,FX volatility,CGRI_Max_x_CCI,-0.09368300874975596,0.06420527755349549,-1.45911694987534,0.1445329217970772,6050,0.1540999175629668,0.1518565226816486
10C_CGRI_Max_CCI,FX volatility,CGRI_Max_Component,0.05071797406054809,0.04202150915580678,1.206952703019224,0.2274503592222484,6050,0.1540999175629668,0.1518565226816486
10C_CGRI_Max_CCI,FX volatility,CCI_Baseline_Recomputed,-61.25782437875303,2.868424835467188,-21.35591061035274,3.436091951188879e-101,6050,0.1540999175629668,0.1518565226816486
10D_China_Excluded,FX volatility,CGRI_x_CCI,-0.7917635907210178,0.133463807812271,-5.932421708173539,2.984987392761389e-09,4840,0.1277074529006964,0.1249951004532482
10D_China_Excluded,FX volatility,CGRI_Equal_Weighted,0.3512170408512883,0.07023998738727376,5.000243506805108,5.725795317278137e-07,4840,0.1277074529006964,0.1249951004532482
10D_China_Excluded,FX volatility,CCI_Baseline_Recomputed,-74.6346426377977,4.758536432492333,-15.68436927963311,1.934753134670577e-55,4840,0.1277074529006964,0.1249951004532482
10A_OVX_CCI,Stock volatility,OVX_x_CCI,-9.270410675637e-05,0.02275850715508908,-0.004073382587207186,0.9967499199112229,6050,0.08133094668979335,0.07889456265979777
10A_OVX_CCI,Stock volatility,OVX_Change,0.004894635875913549,0.01201789141736659,0.4072790896446694,0.6838030188606552,6050,0.08133094668979335,0.07889456265979777
10A_OVX_CCI,Stock volatility,CGRI_Equal_Weighted,0.3347260892017216,0.03476182757808706,9.629128055762067,6.023844793588867e-22,6050,0.08133094668979335,0.07889456265979777
10A_OVX_CCI,Stock volatility,CCI_Baseline_Recomputed,-9.103508659396505,2.93673184249187,-3.099877396933869,0.001936007622745771,6050,0.08133094668979335,0.07889456265979777
10B_BDI_CCI,Stock volatility,BDI_x_CCI,-0.03367245453370096,0.0169106355760834,-1.991199821095056,0.04645892353570004,6050,0.0818269184111583,0.07939184973795732
10B_BDI_CCI,Stock volatility,BDI_Return,0.01564318019627017,0.008966867451122016,1.74455352234662,0.08106261713569708,6050,0.0818269184111583,0.07939184973795732
10B_BDI_CCI,Stock volatility,CGRI_Equal_Weighted,0.3346990014935895,0.03469582118573217,9.646666084134262,5.077979985680129e-22,6050,0.0818269184111583,0.07939184973795732
10B_BDI_CCI,Stock volatility,CCI_Baseline_Recomputed,-8.95419321906542,2.942313649325958,-3.043249050323611,0.002340385518108681,6050,0.0818269184111583,0.07939184973795732
10B_BDTI_CCI,Stock volatility,BDTI_x_CCI,-0.04258475932717903,0.02995625144487096,-1.42156502476782,0.1551525641997581,4620,0.0860597922396239,0.08308214169305439
10B_BDTI_CCI,Stock volatility,BDTI_Return,0.04601628949568772,0.01617923781153795,2.844156815772371,0.004452912626955316,4620,0.0860597922396239,0.08308214169305439
10B_BDTI_CCI,Stock volatility,CGRI_Equal_Weighted,-0.02901288399300622,0.0512361328283425,-0.5662582710956876,0.5712182228916063,4620,0.0860597922396239,0.08308214169305439
10B_BDTI_CCI,Stock volatility,CCI_Baseline_Recomputed,17.15731962027604,4.011295743608875,4.277251221781013,1.892152287789326e-05,4620,0.0860597922396239,0.08308214169305439
10C_CGRI_Max_CCI,Stock volatility,CGRI_Max_x_CCI,-0.1210718617828954,0.1212325365472212,-0.9986746564173122,0.3179523215868638,6050,0.07741981895520555,0.0749730623006859
10C_CGRI_Max_CCI,Stock volatility,CGRI_Max_Component,0.2244215039802518,0.06097390526656791,3.680615551835131,0.0002326715889036233,6050,0.07741981895520555,0.0749730623006859
10C_CGRI_Max_CCI,Stock volatility,CCI_Baseline_Recomputed,-8.126158134409398,3.024600164936282,-2.68668838566323,0.007216424157521105,6050,0.07741981895520555,0.0749730623006859
10D_China_Excluded,Stock volatility,CGRI_x_CCI,-1.391813653188327,0.2121847862956395,-6.559441312861596,5.400974384021486e-11,4840,0.09404135864765184,0.09122432307130746
10D_China_Excluded,Stock volatility,CGRI_Equal_Weighted,0.9258384507310786,0.1022158848324099,9.057676820477125,1.332584048531508e-19,4840,0.09404135864765184,0.09122432307130746
10D_China_Excluded,Stock volatility,CCI_Baseline_Recomputed,-7.481301750933369,4.76403418985887,-1.570371129337969,0.1163287950230724,4840,0.09404135864765184,0.09122432307130746
